,Component 1,Component 2
0,3.617889,3.1860642
1,-8.25074,6.629799
2,-6.277035,-7.9228897
3,-7.4477324,6.5275173
4,-7.0676327,4.7468514
5,-4.7932305,-4.2754693
6,4.1129365,1.4543989
7,-0.9929536,3.1918588
8,6.398414,1.6529064
9,-6.710762,-9.177467
10,-6.1924596,-5.521206
11,2.644399,-0.8648326
12,-0.1463427,-2.6110513
13,11.395396,0.4253479
14,3.5899565,6.0630136
15,-5.846997,-7.8367763
16,-3.8122253,3.7508714
17,-8.111805,7.743073
18,-2.1366184,-2.2412806
19,9.907414,-0.8472034
20,-0.54708916,-2.6289153
21,-3.2134924,7.138314
22,11.506319,-0.30141127
23,-5.457656,7.9833694
24,-3.199122,-3.6845853
25,-1.0034349,-3.6128397
26,-2.3123548,-3.9823587
27,-0.0012303381,-3.5352266
28,-7.9476547,10.26143
29,-4.384734,-6.744939
30,8.091268,-1.7447582
31,-5.50392,-5.771595
32,-7.068659,-9.749401
33,8.652635,0.5593816
34,-3.4161232,5.7728796
35,-1.551922,0.431377
36,5.2435503,4.499056
37,-2.1947486,-4.2789145
38,-6.533325,-4.8555164
39,8.745321,0.065848134
40,1.9918851,-2.4198453
41,-5.228769,8.844653
42,-6.9047203,8.745348
43,-7.6478486,-8.047972
44,-1.5117233,-0.7928113
45,1.0859191,-1.5703084
46,6.407249,0.14177287
47,-2.6484232,-2.7961357
48,-0.2932081,-3.4870646
49,9.06532,-0.20510262
50,1.5282656,-2.9890664
51,0.4581287,2.3913965
52,-7.4701014,10.537474
53,3.4671493,4.2487774
54,6.87066,-0.83087784
55,-1.3851072,-1.9444783
56,-5.117132,-8.050422
57,5.0719137,2.2069511
58,7.1038184,-0.16046324
59,3.1058059,3.5757658
60,-8.150846,6.5618534
61,2.4356134,6.1178555
62,9.281537,-0.8266654
63,8.105277,-0.17097883
64,-6.7684503,-1.3449637
65,-5.7368217,-7.290471
66,-7.2281213,-5.2171707
67,4.1420307,4.494196
68,-5.264196,5.789202
69,-10.836861,11.284562
70,-5.7832313,-7.717292
71,-5.608894,-6.155285
72,-0.9078059,-4.059671
73,-9.307742,10.506654
74,6.3783364,1.4412473
75,-7.848954,-7.788429
76,-6.3554735,3.83944
77,-6.7550344,5.279615
78,-5.00409,-6.238205
79,-6.851929,-7.823572
80,-1.3188286,-3.766511
81,1.5279827,-3.62922
82,7.4439626,-0.5572436
83,12.250242,-0.77640605
84,0.6842912,-3.0803463
85,-6.6509895,6.433286
86,0.8910865,-4.3386354
87,-6.9957757,-8.167904
88,9.306752,0.009588197
89,4.625641,3.8089662
90,3.7177558,2.1993847
91,9.602623,-0.45426902
92,-5.476933,-4.73652
93,-6.8579965,8.64952
94,-8.708581,9.583673
95,-7.2302594,6.8631577
96,-9.551478,11.96305
97,2.0032754,-0.5005404
98,5.2101803,2.334432
99,13.009069,-1.3596925
100,-7.7940297,8.04298
101,3.8857346,2.299194
102,8.222105,-0.91803634
103,-0.22763453,-3.4856703
104,-7.403437,7.9937215
105,6.0958395,-0.18767938
106,-0.5867572,-1.8126819
107,4.9900136,-0.24936563
108,10.341682,0.10727582
109,-7.584887,10.260996
110,0.33538327,-2.9689786
111,3.4317598,4.6425643
112,-7.525126,9.639987
113,-8.15003,9.4786625
114,7.508691,1.749977
115,3.6674187,1.9124807
116,3.1038694,2.9733415
117,-1.7106274,-4.816512
118,-5.1354804,5.7523303
119,3.2411587,0.95554
120,3.7843027,2.892182
121,-6.8293324,6.562347
122,7.67532,-0.2958821
123,-1.313773,-3.260551
124,10.373704,-1.4864453
125,9.08629,-0.6646616
126,-7.0276413,-7.9835553
127,3.8164704,4.878571
128,8.794088,0.3970595
129,4.737277,2.741945
130,-5.8623676,-7.63925
131,6.695804,0.19168054
132,-9.556388,11.647797
133,2.5180929,1.6160301
134,-7.450679,5.9191017
135,-4.8976684,-6.4380236
136,-7.4372444,-9.4758
137,4.296637,5.0879197
138,-0.20359014,-4.4751916
139,-0.89078975,-3.6546972
140,-3.853479,7.0136356
141,-5.181015,-6.7566023
142,2.416397,1.4676666
143,8.441385,-0.93725365
144,7.62581,-0.80128855
145,-1.922033,-4.442842
146,-4.8499503,-5.872735
147,0.81568533,-3.5008955
148,-7.0476656,-8.274269
149,-8.014874,10.4419985
150,9.57531,-1.4276983
151,-10.155892,11.840755
152,-1.5778625,-4.1283965
153,1.9974382,0.6538614
154,-6.707474,-8.635976
155,2.1877995,0.28230727
156,7.4175067,0.07314089
157,3.2945518,3.9997048
158,7.684071,-3.1407366
159,0.7711436,-2.0905175
160,7.491416,1.4780898
161,-7.4737954,9.727526
162,2.8085315,2.1644368
163,-5.2547226,-5.2573123
164,2.673234,2.8060768
165,3.483475,1.5666987
166,1.8496176,-2.2438245
167,2.5340085,5.7524967
168,9.800734,2.701181
169,-9.794773,8.568343
170,4.468877,2.625073
171,3.749146,4.3925843
172,-4.7040277,4.7959213
173,-2.1939633,1.84547
174,-4.942487,7.283165
175,-6.7172775,3.9883323
176,-5.2156386,10.232756
177,-4.918394,-6.8810925
178,-7.955449,8.779201
